sample_id,subject,predicate,predicate_code,correct_answer,culture,country,prediction,extracted_answer,exact_match,overlap
P103_general_ARAB_REGION_787,Tewfik Saleh,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Tewfik Saleh is a Sudanese politician who has served as the President of Sudan from 2013 to 2020. The primary language spoken in Sudan is Arabic, which is the official language of the",Arabic,1.0,1.0
P103_general_ARAB_REGION_788,Mahmud Fahmi al-Nuqrashi,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Mahmud Fahmi al-Nuqrashi was a prominent Egyptian scholar and writer who lived during the 19th and early 20th centuries. Arabic is the primary language spoken in Egypt, and it is also the language",Arabic,1.0,1.0
P103_general_ARAB_REGION_789,Mustapha Khalif,Native language,P103,['Berber'],Arab,Kuwait,"To determine the native language of Mustapha Khalif, we would need more specific information about Mustapha Khalif. Without additional context or details about Mustapha Khalif's background, nationality, or place of origin, it is impossible to","To determine the native language of Mustapha Khalif, we would need more specific information about Mustapha Khalif. Without additional context or details about Mustapha Khalif's background, nationality, or place of origin, it is impossible to",0.0,0.0
P103_general_ARAB_REGION_790,Mohammad Asfour,Native language,P103,['Arabic'],Arab,Jordan,"Arabic

Mohammad Asfour is a well-known Egyptian actor, director, and producer. The primary language spoken in Egypt is Arabic, and it is the native language of many Egyptians, including Mohammad Asfour. 

To provide more context, Arabic is",Arabic,1.0,1.0
P103_general_ARAB_REGION_791,Abdul-Kareem Ubaidy,Native language,P103,['Arabic'],Arab,Unknown Country,"To determine the native language of Abdul-Kareem Ubaidy, we would need specific information about him. Unfortunately, without any provided context or details about Abdul-Kareem Ubaidy, it is impossible to accurately state his native language.","To determine the native language of Abdul-Kareem Ubaidy, we would need specific information about him. Unfortunately, without any provided context or details about Abdul-Kareem Ubaidy, it is impossible to accurately state his native language",0.0,0.0
P103_general_ARAB_REGION_792,Mohamed El Shorbagy,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Mohamed El Shorbagy is a prominent Egyptian professional badminton player. The primary language spoken in Egypt is Arabic, and it is the native language of many Egyptians, including El Shorbagy. 

To provide more context",Arabic,1.0,1.0
P103_general_ARAB_REGION_793,Mustapha Moustaoudia,Native language,P103,['Berber'],Arab,Kuwait,"Arabic

Mustapha Moustaoudia is a Moroccan politician who has been a member of the Moroccan Parliament since 2012. The primary language spoken in Morocco is Arabic, and it is the official language of the country. Therefore,",Arabic,0.0,0.0
P103_general_ARAB_REGION_794,Badi' Khayri,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Badi' Khayri, we would need specific information about him. Unfortunately, without any context or additional details about Badi' Khayri, it's impossible to provide an accurate answer. 

If you have","To determine the native language of Badi' Khayri, we would need specific information about him. Unfortunately, without any context or additional details about Badi' Khayri, it's impossible to provide an accurate answer",0.0,0.0
P103_general_ARAB_REGION_795,Brahim Akhiat,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Brahim Akhiat is a Moroccan singer and songwriter, and his native language is Moroccan Arabic. Moroccan Arabic, also known as Darija, is the colloquial form of the Moroccan language, which is a variety of",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_796,Mayada Ashraf,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

The answer is correct based on the information provided. Mayada Ashraf is a Palestinian actress, and Arabic is the primary language spoken in the Palestinian territories, including the West Bank and Gaza Strip. Therefore, it is most likely that her native",Arabic,1.0,1.0
P103_general_ARAB_REGION_797,Masrour Barzani,Native language,P103,['Kurdish'],Arab,Unknown Country,"Kurdish

Masrour Barzani is a Kurdish politician and the son of Masoud Barzani, the President of the Kurdistan Regional Government in Iraq. Kurdish is the native language of Masrour Barzani, as it is for many",Kurdish,1.0,1.0
P103_general_ARAB_REGION_798,Zouzou Nabil,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Zouzou Nabil, we would need more specific information about Zouzou Nabil. Without additional context or details about this person, it is impossible to accurately state their native language. 

If you have","To determine the native language of Zouzou Nabil, we would need more specific information about Zouzou Nabil. Without additional context or details about this person, it is impossible to accurately state their native language",0.0,0.0
P103_general_ARAB_REGION_799,Nasir al-Wuhayshi,Native language,P103,['Arabic'],Arab,UAE,"To determine the native language of Nasir al-Wuhayshi, we need to look into his background and the context in which he is known. 

Nasir al-Wuhayshi is a prominent figure in the Al-Qaeda organization, and","To determine the native language of Nasir al-Wuhayshi, we need to look into his background and the context in which he is known",0.0,0.0
P103_general_ARAB_REGION_800,Iman Issa,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Iman Issa is a person who speaks Arabic as their native language. Arabic is the primary language spoken in many countries in the Middle East and North Africa, including the countries where Iman Issa might be from or have lived.",Arabic,1.0,1.0
P103_general_ARAB_REGION_801,Sa'ad Al-Faqih,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Justification:
Sa'ad Al-Faqih is a prominent figure in the Islamic world, particularly known for his role as the Grand Imam of the Al-Azhar Mosque in Cairo, Egypt. Al-Azhar is one of the",Arabic,1.0,1.0
P103_general_ARAB_REGION_802,Mohamed Mounir Majidi,Native language,P103,['Arabic'],Arab,Kuwait,"Arabic

Mohamed Mounir Majidi is a Moroccan singer, songwriter, and actor. The primary language spoken in Morocco is Arabic, and it is the most widely used language in the country. Therefore, it is reasonable to conclude that Mohamed M",Arabic,1.0,1.0
P103_general_ARAB_REGION_803,Hafiz Salamah,Native language,P103,['Arabic'],Arab,Egypt,"To determine the native language of Hafiz Salamah, we would need more specific information about who Hafiz Salamah is. Hafiz Salamah could refer to several people, such as a historical figure, a religious leader","To determine the native language of Hafiz Salamah, we would need more specific information about who Hafiz Salamah is. Hafiz Salamah could refer to several people, such as a historical figure, a religious leader",0.0,0.0
P103_general_ARAB_REGION_804,Jasir Ammouri,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Jasir Ammouri is a Moroccan singer, actor, and television host. Moroccan people primarily speak Arabic as their native language, along with Berber dialects in some regions. Therefore, it is reasonable to conclude that Jasir Am",Arabic,1.0,1.0
P103_general_ARAB_REGION_805,Mohamed Oulhaj,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Mohamed Oulhaj is a Moroccan footballer, and his native language is Moroccan Arabic, also known as Darija. Moroccan Arabic is the primary language spoken in Morocco and is a distinct dialect of the broader Arabic language.",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_806,Youssef Obama,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

The answer is: Arabic.

Youssef Obama is the son of former U.S. President Barack Obama and his Kenyan wife, Michelle Obama. Since his father is Kenyan, it is likely that Youssef Obama would speak Arabic",Arabic,1.0,1.0
P103_general_ARAB_REGION_807,Karim Alami,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Karim Alami is a Moroccan singer, actor, and politician. Moroccan Arabic, also known as Darija, is the native language spoken in Morocco. Therefore, the native language of Karim Alami is Moroccan Arabic.",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_808,Saleh Selim,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Saleh Selim, we would need more specific information about Saleh Selim. Saleh Selim could be a person from various backgrounds, and their native language would depend on their specific origin or nationality. 

Without","To determine the native language of Saleh Selim, we would need more specific information about Saleh Selim. Saleh Selim could be a person from various backgrounds, and their native language would depend on their specific origin or nationality",0.0,0.0
P103_general_ARAB_REGION_809,Rogena,Native language,P103,['Arabic'],Arab,Egypt,"To determine the native language of Rogena, we would need more context or information about Rogena. Without additional details, it's impossible to accurately identify her native language. 

If you have any specific information about Rogena, such as her origin,","To determine the native language of Rogena, we would need more context or information about Rogena. Without additional details, it's impossible to accurately identify her native language",0.0,0.0
P103_general_ARAB_REGION_810,Yahia Al-Saud,Native language,P103,['Arabic'],Arab,Jordan,"Arabic

Yahia Al-Saud is a member of the Saudi royal family, and Arabic is the primary language spoken in Saudi Arabia. The Saudi royal family, including members of the Al-Saud clan, generally use Arabic as their native language.",Arabic,1.0,1.0
P103_general_ARAB_REGION_811,Fawzia Assaad,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Fawzia Assaad, we would need specific information about her. Unfortunately, without any provided context or sources, it's impossible to accurately state her native language. 

If you have any additional details about Fawzia","To determine the native language of Fawzia Assaad, we would need specific information about her. Unfortunately, without any provided context or sources, it's impossible to accurately state her native language",0.0,0.0
P103_general_ARAB_REGION_812,Abdeslam Ahizoune,Native language,P103,['Berber'],Arab,Kuwait,"To determine the native language of Abdeslam Ahizoune, we would need specific information about him. Unfortunately, without any provided context or data about this individual, it is impossible to accurately state his native language. 

If you have any additional","To determine the native language of Abdeslam Ahizoune, we would need specific information about him. Unfortunately, without any provided context or data about this individual, it is impossible to accurately state his native language",0.0,0.0
P103_general_ARAB_REGION_813,Ahmed Brahim,Native language,P103,['Arabic'],Arab,Unknown Country,"To determine the native language of Ahmed Brahim, we would need to have specific information about him. Unfortunately, without any context or additional details about Ahmed Brahim, it is impossible to provide a definitive answer. 

If you have any specific information about","To determine the native language of Ahmed Brahim, we would need to have specific information about him. Unfortunately, without any context or additional details about Ahmed Brahim, it is impossible to provide a definitive answer",0.0,0.0
P103_general_ARAB_REGION_814,Assem Allam,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Assem Allam is a well-known Egyptian actor, comedian, and writer. The primary language spoken in Egypt is Arabic, and it is the native language of many Egyptians, including Assem Allam. Therefore, the answer to the question",Arabic,1.0,1.0
P103_general_ARAB_REGION_815,Sanaa Hamri,Native language,P103,['Berber'],Arab,Kuwait,"To determine the native language of Sanaa Hamri, we would need more specific information about Sanaa Hamri. Without additional context or details about Sanaa Hamri's background, nationality, or linguistic background, it is impossible to accurately","To determine the native language of Sanaa Hamri, we would need more specific information about Sanaa Hamri. Without additional context or details about Sanaa Hamri's background, nationality, or linguistic background, it is impossible to accurately",0.0,0.0
P103_general_ARAB_REGION_816,Emad Moteab,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Emad Moteab is a Palestinian actor, director, and producer. Arabic is the primary language spoken in the Palestinian territories, including the West Bank and Gaza Strip, where Emad Moteab is from. Therefore, the native language",Arabic,1.0,1.0
P103_general_ARAB_REGION_817,Adnane Remmal,Native language,P103,['Berber'],Arab,Kuwait,"Arabic

Adnane Remmal is a Moroccan singer and songwriter, and the primary language spoken in Morocco is Arabic. Therefore, it is reasonable to conclude that Adnane Remmal's native language is Arabic. 

To provide more context, Moroccan",Arabic,0.0,0.0
P103_general_ARAB_REGION_818,Samir Sabry,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Samir Sabry is a well-known Egyptian actor, director, and producer. Arabic is the primary language spoken in Egypt, and it is also the native language of Samir Sabry. 

To provide more context, Samir Sabry",Arabic,1.0,1.0
P103_general_ARAB_REGION_819,Mohammed Ibrahim Suleiman,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Mohammed Ibrahim Suleiman, we would need specific information about him. Unfortunately, without any provided context or details about his background, nationality, or linguistic background, it is impossible to accurately state his native language.

If you","To determine the native language of Mohammed Ibrahim Suleiman, we would need specific information about him. Unfortunately, without any provided context or details about his background, nationality, or linguistic background, it is impossible to accurately state his native language",0.0,0.0
P103_general_ARAB_REGION_820,ʻĀtiq ibn Ghayth Bilādī,Native language,P103,['Arabic'],Arab,Syria,"To determine the native language of ʻĀtiq ibn Ghayth Bilādī, we would need to have specific historical or linguistic information about this individual. Unfortunately, without any direct sources or records mentioning his native language, it is","To determine the native language of ʻĀtiq ibn Ghayth Bilādī, we would need to have specific historical or linguistic information about this individual. Unfortunately, without any direct sources or records mentioning his native language, it is",0.0,0.0
P103_general_ARAB_REGION_821,Saint Sarah,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Saint Sarah, we need more context or information about Saint Sarah. Without additional details, it's impossible to know which Saint Sarah we are referring to or what language they might speak. There are many saints named Sarah in various","To determine the native language of Saint Sarah, we need more context or information about Saint Sarah. Without additional details, it's impossible to know which Saint Sarah we are referring to or what language they might speak. There are many saints named Sarah in various",0.0,0.0
P103_general_ARAB_REGION_822,Omar al-Saqqaf,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Omar al-Saqqaf is a prominent figure in the Islamic State of Iraq and the Levant (ISIL, also known as ISIS) and is known to be from Iraq. Arabic is the primary language spoken in Iraq and is",Arabic,1.0,1.0
P103_general_ARAB_REGION_823,Muḥammad Ḥasan Sharshar,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Muḥammad Ḥasan Sharshar, we would need to conduct research on his life and linguistic background. Unfortunately, without specific historical records or biographical information about him, it is not possible to definitively","To determine the native language of Muḥammad Ḥasan Sharshar, we would need to conduct research on his life and linguistic background. Unfortunately, without specific historical records or biographical information about him, it is not possible to definitively",0.0,0.0
P103_general_ARAB_REGION_824,Ahmed Raïssouni,Native language,P103,"['Arabic', 'Moroccan Arabic']",Arab,Kuwait,"Moroccan

Ahmed Raïssouni is a Moroccan singer, songwriter, and actor. His native language is Moroccan Arabic, which is also known as Darija. However, he is also fluent in French and English due to his extensive work",Moroccan,0.0,0.0
P103_general_ARAB_REGION_825,Jaouad Gharib,Native language,P103,['Berber'],Arab,Kuwait,"Arabic

Jaouad Gharib is a Tunisian actor, director, and producer. Arabic is the primary language spoken in Tunisia, and it is also the native language of many Tunisians, including Jaouad Gharib. 

To",Arabic,0.0,0.0
P103_general_ARAB_REGION_826,Muhammad al-Muqri,Native language,P103,['Arabic'],Arab,Kuwait,"Arabic

Muhammad al-Muqri was a Moroccan Islamic scholar and writer who lived during the 18th and 19th centuries. Arabic is the primary language of the Arab world, including Morocco, where al-Muqri",Arabic,1.0,1.0
P103_general_ARAB_REGION_827,Ali Mohammed Baqir al-Nimr,Native language,P103,['Arabic'],Arab,Syria,"To determine the native language of Ali Mohammed Baqir al-Nimr, we would need to look for reliable sources that provide information about his background and upbringing. 

1. **Research Ali Mohammed Baqir al-Nimr's Background**:","To determine the native language of Ali Mohammed Baqir al-Nimr, we would need to look for reliable sources that provide information about his background and upbringing",0.0,0.0
P103_general_ARAB_REGION_828,Saud bin Nayef Al Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Saud bin Nayef Al Saud, being a member of the House of Saud and the King of Saudi Arabia from 2012 to 2015, would most likely speak Arabic as his native language. Arabic is the",Arabic,1.0,1.0
P103_general_ARAB_REGION_829,Hossam El Badry,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Justification:
Hossam El Badry is an Egyptian actor, director, and producer. Egypt is predominantly an Arab country, and the primary language spoken there is Arabic. Therefore, it is safe to assume that Hossam El Bad",Arabic,1.0,1.0
P103_general_ARAB_REGION_830,Muhammad Abu Zahra,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Muhammad Abu Zahra was a prominent Egyptian lawyer, judge, and legal scholar who lived from 1905 to 1960. Arabic is the primary language spoken in Egypt, and it is also the language in which",Arabic,1.0,1.0
P103_general_ARAB_REGION_831,Abd as-Sattar Qasm,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic Abd as-Sattar Qasm is likely speaking Arabic as his native language. Arabic is the primary language spoken in the region where he is from, and it is common for people to identify their native language as Arabic if they are from an Arab","Arabic Abd as-Sattar Qasm is likely speaking Arabic as his native language. Arabic is the primary language spoken in the region where he is from, and it is common for people to identify their native language as Arabic if they are from an Arab",0.0,1.0
P103_general_ARAB_REGION_832,Ramadan Abdel Rehim Mansour,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Explanation: Ramadan Abdel Rehim Mansour is a well-known Egyptian actor, director, and producer. The primary language spoken in Egypt is Arabic, and it is the native language of most Egyptians, including prominent figures in the entertainment industry. Therefore",Arabic,1.0,1.0
P103_general_ARAB_REGION_833,Driss Benzekri,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Driss Benzekri is a Moroccan politician and writer. His native language is Moroccan Arabic, which is also known as Darija. Moroccan Arabic is the most widely spoken language in Morocco and is an official language alongside Arabic and French",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_834,Mohammad Saad,Native language,P103,"['Saudi Arabic', 'Arabic']",Arab,Syria,"To determine the native language of Mohammad Saad, we would need specific information about him. Without any context or details about Mohammad Saad, it's impossible to provide an accurate answer. 

If Mohammad Saad is a well-known public figure, actor","To determine the native language of Mohammad Saad, we would need specific information about him. Without any context or details about Mohammad Saad, it's impossible to provide an accurate answer",0.0,0.0
P103_general_ARAB_REGION_835,Tamer Hussein,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Justification:
Tamer Hussein is a well-known Egyptian actor and comedian. In Egypt, Arabic is the official and primary language spoken. Therefore, it is safe to assume that his native language is Arabic. While he may be fluent in other",Arabic,1.0,1.0
P103_general_ARAB_REGION_836,Mohamed Abdel-Shafy,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Mohamed Abdel-Shafy is a well-known Egyptian actor, director, and producer. The primary language spoken in Egypt is Arabic, and it is the native language of many Egyptians, including Mohamed Abdel-Shafy. 

To provide more",Arabic,1.0,1.0
P103_general_ARAB_REGION_837,Muhammad Ali al-Saleh,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Muhammad Ali al-Saleh is a Yemeni politician and diplomat. The primary language spoken in Yemen is Arabic, which is also the official language of Yemen. Therefore, the native language of Muhammad Ali al-Saleh is Arabic.",Arabic,1.0,1.0
P103_general_ARAB_REGION_838,Samy Elmaghribi,Native language,P103,['Berber'],Arab,Kuwait,"Arabic

Samy Elmaghribi is a Moroccan singer and actor, and Arabic is the primary language spoken in Morocco. Therefore, his native language is Arabic. 

To provide more context:
- Samy Elmaghribi was born",Arabic,0.0,0.0
P103_general_ARAB_REGION_839,Yahya El Mashad,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Yahya El Mashad is a Somali journalist and writer. While he may have knowledge of other languages, his native language is Arabic. This is because Arabic is the primary language spoken in the region where he was born and raised, and",Arabic,1.0,1.0
P103_general_ARAB_REGION_840,Isa Sabbagh,Native language,P103,['Arabic'],Arab,Unknown Country,"To determine the native language of Isa Sabbagh, we would need to have reliable information about him. Unfortunately, without specific details about Isa Sabbagh, such as his nationality, birthplace, or any public statements about his language, it is impossible to","To determine the native language of Isa Sabbagh, we would need to have reliable information about him. Unfortunately, without specific details about Isa Sabbagh, such as his nationality, birthplace, or any public statements about his language, it is impossible to",0.0,0.0
P103_general_ARAB_REGION_841,Mohamed Hashem,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Mohamed Hashem, we would need specific information about him. Without any context or details provided, it's impossible to know his native language. 

If you have any additional information about Mohamed Hashem, such as his nationality","To determine the native language of Mohamed Hashem, we would need specific information about him. Without any context or details provided, it's impossible to know his native language",0.0,0.0
P103_general_ARAB_REGION_842,Ahmed Ramzy,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Ahmed Ramzy is a well-known Egyptian actor, comedian, and singer. The primary language spoken in Egypt is Arabic, and it is the native language of many Egyptians, including Ahmed Ramzy. 

To provide more context:
- Ahmed",Arabic,1.0,1.0
P103_general_ARAB_REGION_843,Amina Bouayach,Native language,P103,['Berber'],Arab,Kuwait,"To determine the native language of Amina Bouayach, we would need to have specific information about her. Unfortunately, without any provided context or sources, it's impossible to accurately state her native language. 

If you have any additional details or context","To determine the native language of Amina Bouayach, we would need to have specific information about her. Unfortunately, without any provided context or sources, it's impossible to accurately state her native language",0.0,0.0
P103_general_ARAB_REGION_844,Hamdy Al-Sakhawi,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Hamdy Al-Sakhawi was a prominent Islamic scholar and author who lived in the 16th and 17th centuries. Given that he was an Arabic-speaking individual, his native language would be Arabic. 

To provide more",Arabic,1.0,1.0
P103_general_ARAB_REGION_845,Ali Al-Sebaa,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Ali Al-Sebaa is a well-known Iraqi journalist, author, and political commentator. Arabic is the primary language spoken in Iraq, and it is also the native language of many Iraqis, including Ali Al-Sebaa. 

To",Arabic,1.0,1.0
P103_general_ARAB_REGION_846,Sandra Samir,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Sandra Samir, we would need more specific information about her. Without additional context or details about her background, nationality, or where she was born, it is impossible to accurately state her native language. 

If you have","To determine the native language of Sandra Samir, we would need more specific information about her. Without additional context or details about her background, nationality, or where she was born, it is impossible to accurately state her native language",0.0,0.0
P103_general_ARAB_REGION_847,Ahmed Chawki,Native language,P103,['Berber'],Arab,Kuwait,"To determine the native language of Ahmed Chawki, we would need to have specific information about him. Ahmed Chawki is a name that could belong to many people, and without additional context or information about the individual, it's impossible to definit","To determine the native language of Ahmed Chawki, we would need to have specific information about him. Ahmed Chawki is a name that could belong to many people, and without additional context or information about the individual, it's impossible to definit",0.0,0.0
P103_general_ARAB_REGION_848,Ōsunaarashi Kintarō,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Japanese

The answer is Japanese because Kintarō is a fictional character from Japanese folklore. He is often depicted as a young boy with the strength of an adult, and his stories are rooted in Japanese culture and language. Therefore, his native language",Japanese,0.0,0.0
P103_general_ARAB_REGION_849,Maḥmūd ʻAwaḍ,Native language,P103,['Arabic'],Arab,Egypt,"Arabic Maḥmūd ʻAwaḍ is known to be a native speaker of Arabic. Arabic is the native language of many people in the Middle East and North Africa, where Maḥmūd ʻAwaḍ is likely","Arabic Maḥmūd ʻAwaḍ is known to be a native speaker of Arabic. Arabic is the native language of many people in the Middle East and North Africa, where Maḥmūd ʻAwaḍ is likely",0.0,1.0
P103_general_ARAB_REGION_850,Bahia Mouhtassine,Native language,P103,['Berber'],Arab,Kuwait,"The native language of Bahia Mouhtassine is Tamazight (also known as Tamazight or Tamazight languages, which includes varieties such as Tashelhiyt, Tamasheq, and Kabyle).

To provide more","The native language of Bahia Mouhtassine is Tamazight (also known as Tamazight or Tamazight languages, which includes varieties such as Tashelhiyt, Tamasheq, and Kabyle)",0.0,0.0
P103_general_ARAB_REGION_851,Mohammad Al-Shalhoub,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Mohammad Al-Shalhoub is a Palestinian poet, writer, and translator who primarily writes and speaks in Arabic. Arabic is the native language of most Palestinians, including Al-Shalhoub. 

To provide more context:
- Al",Arabic,1.0,1.0
P103_general_ARAB_REGION_852,Mohammed Nasser Al-Aboudi,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Mohammed Nasser Al-Aboudi is a person from the Middle East, and in this region, Arabic is the primary language spoken. Therefore, the native language of Mohammed Nasser Al-Aboudi is Arabic. 

To",Arabic,1.0,1.0
P103_general_ARAB_REGION_853,Abu Yusuf Yaqub ibn Abd Al-Haqq,Native language,P103,['Berber'],Arab,Kuwait,"Arabic

Abu Yusuf Yaqub ibn Abd Al-Haqq, also known as Yusuf ibn Abd Al-Haqq, was a prominent Andalusian mathematician, astronomer, and astrologer who lived in the",Arabic,0.0,0.0
P103_general_ARAB_REGION_854,Abdessalam Benjelloun,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Abdessalam Benjelloun is a Moroccan politician who has served as the Prime Minister of Morocco. The primary language spoken in Morocco is Moroccan Arabic, which is a dialect of the Maghrebi Arabic language. Therefore,",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_855,ʻAlī Amīn,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of ʻAlī Amīn, we need to gather information about this person. Unfortunately, the name ""ʻAlī Amīn"" does not provide enough context to identify a specific historical or contemporary figure.","To determine the native language of ʻAlī Amīn, we need to gather information about this person. Unfortunately, the name ""ʻAlī Amīn"" does not provide enough context to identify a specific historical or contemporary figure",0.0,0.0
P103_general_ARAB_REGION_856,Sayed Badreya,Native language,P103,"['Arabic', 'English', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Sayed Badreya is a well-known Egyptian actor, director, and producer. The primary language spoken in Egypt is Arabic, and it is the native language of many Egyptians, including Sayed Badreya. 

To provide more context",Arabic,1.0,1.0
P103_general_ARAB_REGION_857,Rabee al-Madkhali,Native language,P103,['Arabic'],Arab,Syria,"Arabic Rabee al-Madkhali is a well-known figure in the field of Islamic studies and Arabic language. Given that he is a native speaker and a scholar of Arabic, it is highly likely that his native language is Arabic. 

To provide","Arabic Rabee al-Madkhali is a well-known figure in the field of Islamic studies and Arabic language. Given that he is a native speaker and a scholar of Arabic, it is highly likely that his native language is Arabic",0.0,1.0
P103_general_ARAB_REGION_858,John X of Antioch,Native language,P103,['Arabic'],Arab,South Sudan,"To determine the native language of John X of Antioch, we need to consider the historical context and the region he was from. Antioch was a major city in the ancient and medieval Near East, located in modern-day Turkey. The primary","To determine the native language of John X of Antioch, we need to consider the historical context and the region he was from. Antioch was a major city in the ancient and medieval Near East, located in modern-day Turkey. The primary",0.0,0.0
P103_general_ARAB_REGION_859,Muḥammad ʻAbd Allāh ʻInān,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Muḥammad ʻAbd Allāh ʻInān was a Sudanese politician who served as the Prime Minister of Sudan from 1977 to 1978. Arabic is the official language of Sudan",Arabic,1.0,1.0
P103_general_ARAB_REGION_860,Mostafa Terrab,Native language,P103,"['Arabic', 'Moroccan Arabic']",Arab,Kuwait,"Arabic

The answer is correct based on the information provided. Mostafa Terrab is a Sudanese politician and diplomat, and Arabic is the official language of Sudan. Therefore, it is reasonable to conclude that Mostafa Terrab's native language is Arabic",Arabic,1.0,1.0
P103_general_ARAB_REGION_861,Hassan Abdullah,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Hassan Abdullah, we would need specific information about him. Without any context or details about Hassan Abdullah, it's impossible to provide an accurate answer. 

If you have any additional information about Hassan Abdullah, such as his nationality","To determine the native language of Hassan Abdullah, we would need specific information about him. Without any context or details about Hassan Abdullah, it's impossible to provide an accurate answer",0.0,0.0
P103_general_ARAB_REGION_862,Kamilia Shehata,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Kamilia Shehata, we would need specific information about her. Unfortunately, without any provided context or sources, it's impossible to accurately state her native language. 

If you have any additional details or context about","To determine the native language of Kamilia Shehata, we would need specific information about her. Unfortunately, without any provided context or sources, it's impossible to accurately state her native language",0.0,0.0
P103_general_ARAB_REGION_863,Ibrahim Hassan,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Ibrahim Hassan, we would need more specific information about Ibrahim Hassan. Without additional context or details about Ibrahim Hassan, it is impossible to accurately state his native language. 

If you have any specific information about Ibrahim Hassan, such","To determine the native language of Ibrahim Hassan, we would need more specific information about Ibrahim Hassan. Without additional context or details about Ibrahim Hassan, it is impossible to accurately state his native language",0.0,0.0
P103_general_ARAB_REGION_864,Hassaballah El Kafrawy,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Step 1: Identify the subject
The subject of the question is Hassaballah El Kafrawy.

Step 2: Determine the information needed
The question asks about the native language of Hassaballah El Kafrawy",Arabic,1.0,1.0
P103_general_ARAB_REGION_865,Ismail El Shafei,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Ismail El Shafei is a Moroccan politician who has been the Minister of Communication of Morocco since 2016. The primary language spoken in Morocco is Arabic, and it is the official language of the country. Therefore,",Arabic,1.0,1.0
